adurolo	a d u r o l o
advento	a d v e n t o
adverbo	a d v e r b o
adversa	a d v e r s a
adversulo	a d v e r s u l o
advokatejo	a d v o k a t e j o
advokato	a d v o k a t o
aedo	a e d o
aerarmeo	a e r a r m e o
aerglitilo	a e r ɡ l i t i l o
aerkastelo	a e r k a s t e l o
aero	a e r o
aerobiko	a e r o b i k o
aerodromo	a e r o d r o m o
aerolito	a e r o l i t o
aerologio	a e r o l o ɡ i o
aeronaŭtika	a e r o n a w t i k a
aeronaŭtiko	a e r o n a w t i k o
aeroplanejo	a e r o p l a n e j o
aeroplano	a e r o p l a n o
aeroplanoj	a e r o p l a n o j
aerostato	a e r o s t a t o
aerpirato	a e r p i r a t o
aerujo	a e r u j o
aerumi	a e r u m i
aerveturado	a e r v e t u r a d o
afablaĵo	a f a b l a ʒ o
afableco	a f a b l e t͡s o
afazio	a f a z i o
afaziulo	a f a z i u l o
afekcia	a f e k t͡s i a
afekcii	a f e k t͡s i i
afekcio	a f e k t͡s i o
afektato	a f e k t a t o
afektaĵo	a f e k t a ʒ o
afekti	a f e k t i
aferema	a f e r e m a
afereto	a f e r e t o
aferisto	a f e r i s t o
afero	a f e r o
aferŝarĝito	a f e r ʃ a r d͡ʒ i t o
afganio	a f ɡ a n i o
afgano	a f ɡ a n o
afganujo	a f ɡ a n u j o
afido	a f i d o
afikso	a f i k s o
afiksoido	a f i k s o i d o
afiŝejo	a f i ʃ e j o
afiŝhomo	a f i ʃ h o m o
afliktato	a f l i k t a t o
afrika	a f r i k a
afrikano	a f r i k a n o
afrikato	a f r i k a t o
afriko	a f r i k o
afrodito	a f r o d i t o
agacaĵo	a ɡ a t͡s a ʒ o
agaciĝi	a ɡ a t͡s i d͡ʒ i
agadi	a ɡ a d i
agado	a ɡ a d o
agariko	a ɡ a r i k o
agato	a ɡ a t o
agema	a ɡ e m a
agendo	a ɡ e n d o
agi	a ɡ i
agigi	a ɡ i ɡ i
agitado	a ɡ i t a d o
agiti	a ɡ i t i
agitiĝo	a ɡ i t i d͡ʒ o
agla	a ɡ l a
aglutina	a ɡ l u t i n a
agmaniero	a ɡ m a n i e r o
agnoskato	a ɡ n o s k a t o
agnoskinda	a ɡ n o s k i n d a
agnoskito	a ɡ n o s k i t o
agnostikulo	a ɡ n o s t i k u l o
agonii	a ɡ o n i i
agonio	a ɡ o n i o
agordilo	a ɡ o r d i l o
agordisto	a ɡ o r d i s t o
agrablaĵo	a ɡ r a b l a ʒ o
agrableco	a ɡ r a b l e t͡s o
agrafo	a ɡ r a f o
agrara	a ɡ r a r a
agraro	a ɡ r a r o
agrikulturo	a ɡ r i k u l t u r o
agrimonio	a ɡ r i m o n i o
agronomo	a ɡ r o n o m o
aha	a h a
aidosulo	a i d o s u l o
aikido	a i k i d o
ailanto	a i l a n t o
aino	a i n o
ajatolo	a j a t o l o
ajlopremilo	a j l o p r e m i l o
ajmara	a j m a r a
ajmaro	a j m a r o
ajnajn	a j n a j n
akacio	a k a t͡s i o
akademiano	a k a d e m i a n o
akademie	a k a d e m i e
akademio	a k a d e m i o
akaro	a k a r o
akceli	a k t͡s e l i
akcelilo	a k t͡s e l i l o
akceliĝi	a k t͡s e l i d͡ʒ i
akcelo	a k t͡s e l o
akcentato	a k t͡s e n t a t o
akcenti	a k t͡s e n t i
akceptato	a k t͡s e p t a t o
akceptaĵo	a k t͡s e p t a ʒ o
akceptebla	a k t͡s e p t e b l a
akceptejo	a k t͡s e p t e j o
akceptema	a k t͡s e p t e m a
akceptigato	a k t͡s e p t i ɡ a t o
akceptigi	a k t͡s e p t i ɡ i
akceptinda	a k t͡s e p t i n d a
akcesora	a k t͡s e s o r a
akcia	a k t͡s i a
akcidenca	a k t͡s i d e n t͡s a
akcidenco	a k t͡s i d e n t͡s o
akcidento	a k t͡s i d e n t o
akcio	a k t͡s i o
akciulo	a k t͡s i u l o
akeno	a k e n o
akilo	a k i l o
akirato	a k i r a t o
akiraĵo	a k i r a ʒ o
akiri	a k i r i
akiro	a k i r o
aklami	a k l a m i
aknero	a k n e r o
akomodiĝi	a k o m o d i d͡ʒ i
akompanantaro	a k o m p a n a n t a r o
akompananto	a k o m p a n a n t o
akompani	a k o m p a n i
akompanito	a k o m p a n i t o
akompano	a k o m p a n o
akondroplazio	a k o n d r o p l a z i o
akonito	a k o n i t o
akordi	a k o r d i
akordigi	a k o r d i ɡ i
akordiono	a k o r d i o n o
akordiĝi	a k o r d i d͡ʒ i
akreo	a k r e o
akreojn	a k r e o j n
akreon	a k r e o n
akrido	a k r i d o
akrigi	a k r i ɡ i
akrigilo	a k r i ɡ i l o
akrobataĵo	a k r o b a t a ʒ o
akrobati	a k r o b a t i
akrobato	a k r o b a t o
akselo	a k s e l o
aksiomo	a k s i o m o
aktaro	a k t a r o
aktiniidoj	a k t i n i i d o j
aktinio	a k t i n i o
aktiveco	a k t i v e t͡s o
aktivigato	a k t i v i ɡ a t o
aktivigi	a k t i v i ɡ i
aktivismo	a k t i v i s m o
aktivo	a k t i v o
aktivulo	a k t i v u l o
akto	a k t o
aktori	a k t o r i
aktoro	a k t o r o
akumulatoro	a k u m u l a t o r o
akumuli	a k u m u l i
akupunkturo	a k u p u n k t u r o
akustiko	a k u s t i k o
akute	a k u t e
akuzativo	a k u z a t i v o
akuzinto	a k u z i n t o
akuzito	a k u z i t o
akuŝarto	a k u ʃ a r t o
akuŝato	a k u ʃ a t o
akuŝdoloro	a k u ʃ d o l o r o
akuŝigi	a k u ʃ i ɡ i
akuŝinto	a k u ʃ i n t o
akuŝistino	a k u ʃ i s t i n o
akuŝologio	a k u ʃ o l o ɡ i o
akvamarina	a k v a m a r i n a
akvarelo	a k v a r e l o
akvario	a k v a r i o
akvero	a k v e r o
akvifolio	a k v i f o l i o
akvilegio	a k v i l e ɡ i o
akvisto	a k v i s t o
akvoenergio	a k v o e n e r ɡ i o
akvofalo	a k v o f a l o
akvokoko	a k v o k o k o
akvolilio	a k v o l i l i o
akvomelono	a k v o m e l o n o
akvomuelejo	a k v o m u e l e j o
akvopipo	a k v o p i p o
akvovaporo	a k v o v a p o r o
akvumado	a k v u m a d o
akvumato	a k v u m a t o
akvumi	a k v u m i
akĉento	a k t͡ʃ e n t o
al	a l
alabamo	a l a b a m o
aladino	a l a d i n o
alaho	a l a h o
alaranĝato	a l a r a n d͡ʒ a t o
alarmilo	a l a r m i l o
alaskano	a l a s k a n o
alativo	a l a t i v o
alaĵo	a l a ʒ o
alaŭdedo	a l a w d e d o
alaŭdo	a l a w d o
albana	a l b a n a
albanio	a l b a n i o
albano	a l b a n o
albanujo	a l b a n u j o
albati	a l b a t i
albedo	a l b e d o
alberto	a l b e r t o
albina	a l b i n a
albino	a l b i n o
albito	a l b i t o
albordigi	a l b o r d i ɡ i
albordiĝo	a l b o r d i d͡ʒ o
albumino	a l b u m i n o
albumo	a l b u m o
alcededo	a l t͡s e d e d o
alcedo	a l t͡s e d o
aldehido	a l d e h i d o
aldirekti	a l d i r e k t i
aldonato	a l d o n a t o
aldonaĵo	a l d o n a ʒ o
aldoni	a l d o n i
aldono	a l d o n o
aleatora	a l e a t o r a
alekso	a l e k s o
aleo	a l e o
alergio	a l e r ɡ i o
alero	a l e r o
aleto	a l e t o
alfabetigi	a l f a b e t i ɡ i
alfabeto	a l f a b e t o
alfalo	a l f a l o
alfari	a l f a r i
alfingrigi	a l f i n ɡ r i ɡ i
alfinigi	a l f i n i ɡ i
alfo	a l f o
alfortikigi	a l f o r t i k i ɡ i
alfundigi	a l f u n d i ɡ i
alfundiĝi	a l f u n d i d͡ʒ i
algalopi	a l ɡ a l o p i
alglui	a l ɡ l u i
algluiĝi	a l ɡ l u i d͡ʒ i
algo	a l ɡ o
algologio	a l ɡ o l o ɡ i o
alhejmigi	a l h e j m i ɡ i
alia	a l i a
aliaj	a l i a j
aliajn	a l i a j n
alian	a l i a n
alianco	a l i a n t͡s o
alibio	a l i b i o
alies	a l i e s
aliformigi	a l i f o r m i ɡ i
aliformiĝi	a l i f o r m i d͡ʒ i
aligatoro	a l i ɡ a t o r o
aligi	a l i ɡ i
alihejmulo	a l i h e j m u l o
alii	a l i i
aliigi	a l i i ɡ i
aliiĝi	a l i i d͡ʒ i
alilandano	a l i l a n d a n o
alilandulo	a l i l a n d u l o
alimento	a l i m e n t o
alineo	a l i n e o
alinomo	a l i n o m o
alio	a l i o
alirato	a l i r a t o
alirebla	a l i r e b l a
aliro	a l i r o
aliseksema	a l i s e k s e m a
aliseksemulo	a l i s e k s e m u l o
aliteracia	a l i t e r a t͡s i a
aliteracio	a l i t e r a t͡s i o
aliu	a l i u
aliulo	a l i u l o
alivestiĝi	a l i v e s t i d͡ʒ i
alivesto	a l i v e s t o
alizujo	a l i z u j o
aliĝi	a l i d͡ʒ i
aliĝis	a l i d͡ʒ i s
alkala	a l k a l a
alkalio	a l k a l i o
alkalo	a l k a l o
alkaloido	a l k a l o i d o
alkano	a l k a n o
alkateni	a l k a t e n i
alkemia	a l k e m i a
alkemio	a l k e m i o
alkeno	a l k e n o
alkido	a l k i d o
alkino	a l k i n o
alklakato	a l k l a k a t o
alklimatigato	a l k l i m a t i ɡ a t o
alklimatiĝi	a l k l i m a t i d͡ʒ i
alkoholaĵo	a l k o h o l a ʒ o
alkoholismo	a l k o h o l i s m o
alkoholo	a l k o h o l o
alkonformigi	a l k o n f o r m i ɡ i
alkonformiĝi	a l k o n f o r m i d͡ʒ i
alkroĉiĝi	a l k r o t͡ʃ i d͡ʒ i
alkutimiĝi	a l k u t i m i d͡ʒ i
alligi	a l l i ɡ i
allogato	a l l o ɡ a t o
alluniĝi	a l l u n i d͡ʒ i
almanaĥo	a l m a n a x o
almanĝaĵo	a l m a n d͡ʒ a ʒ o
almato	a l m a t o
almenaŭ	a l m e n a w
almeo	a l m e o
almeti	a l m e t i
almiksi	a l m i k s i
almozdoni	a l m o z d o n i
almozkolektujo	a l m o z k o l e k t u j o
almozo	a l m o z o
almozpeti	a l m o z p e t i
almozulejo	a l m o z u l e j o
almozulo	a l m o z u l o
alniveligi	a l n i v e l i ɡ i
alnomo	a l n o m o
alofono	a l o f o n o
aloo	a l o o
alpakido	a l p a k i d o
alparolato	a l p a r o l a t o
alparoli	a l p a r o l i
alpaŝi	a l p a ʃ i
alpiki	a l p i k i
alpkorno	a l p k o r n o
alpoj	a l p o j
alportato	a l p o r t a t o
alpremi	a l p r e m i
alpreni	a l p r e n i
alproksimigato	a l p r o k s i m i ɡ a t o
alproksimigi	a l p r o k s i m i ɡ i
alproksimiĝato	a l p r o k s i m i d͡ʒ a t o
alproksimiĝi	a l p r o k s i m i d͡ʒ i
alproprigi	a l p r o p r i ɡ i
alrapidi	a l r a p i d i
alremi	a l r e m i
alrideti	a l r i d e t i
alruliĝi	a l r u l i d͡ʒ i
alsidiĝi	a l s i d i d͡ʒ i
alskribato	a l s k r i b a t o
alsopiri	a l s o p i r i
alta	a l t a
altabliĝi	a l t a b l i d͡ʒ i
altaro	a l t a r o
altaĵaro	a l t a ʒ a r o
altaĵeto	a l t a ʒ e t o
altaĵo	a l t a ʒ o
altebenaĵo	a l t e b e n a ʒ o
alteco	a l t e t͡s o
altejo	a l t e j o
alteni	a l t e n i
alteniĝi	a l t e n i d͡ʒ i
alterigi	a l t e r i ɡ i
alteriĝato	a l t e r i d͡ʒ a t o
alteriĝi	a l t e r i d͡ʒ i
alternado	a l t e r n a d o
alternativa	a l t e r n a t i v a
alternativo	a l t e r n a t i v o
altfrekvenco	a l t f r e k v e n t͡s o
altirantaj	a l t i r a n t a j
altirantajn	a l t i r a n t a j n
altirantoj	a l t i r a n t o j
altirantojn	a l t i r a n t o j n
altirataj	a l t i r a t a j
altiratajn	a l t i r a t a j n
altirato	a l t i r a t o
altiratojn	a l t i r a t o j n
altiri	a l t i r i
altirintaj	a l t i r i n t a j
altirintoj	a l t i r i n t o j
altirintojn	a l t i r i n t o j n
altiritaj	a l t i r i t a j
altiritajn	a l t i r i t a j n
altiritoj	a l t i r i t o j
altiritojn	a l t i r i t o j n
altiro	a l t i r o
altirontaj	a l t i r o n t a j
altirotaj	a l t i r o t a j
altirotajn	a l t i r o t a j n
altirotojn	a l t i r o t o j n
altituda	a l t i t u d a
altitudo	a l t i t u d o
altiĝi	a l t i d͡ʒ i
altlernejo	a l t l e r n e j o
altperfido	a l t p e r f i d o
altrangulo	a l t r a n ɡ u l o
altranĉi	a l t r a n t͡ʃ i
altrinki	a l t r i n k i
altrudiĝi	a l t r u d i d͡ʒ i
altulo	a l t u l o
alturniĝi	a l t u r n i d͡ʒ i
aludato	a l u d a t o
alumeto	a l u m e t o
alumetskatolo	a l u m e t s k a t o l o
alumetujo	a l u m e t u j o
aluminia	a l u m i n i a
aluminio	a l u m i n i o
aluvio	a l u v i o
alveni	a l v e n i
alveturigi	a l v e t u r i ɡ i
alveturo	a l v e t u r o
alviciĝi	a l v i t͡s i d͡ʒ i
alvokiĝi	a l v o k i d͡ʒ i
alvokiĝo	a l v o k i d͡ʒ o
alvoko	a l v o k o
alĝeria	a l d͡ʒ e r i a
alĝeriano	a l d͡ʒ e r i a n o
alĝerio	a l d͡ʒ e r i o
alĝustigato	a l d͡ʒ u s t i ɡ a t o
alĝustigi	a l d͡ʒ u s t i ɡ i
alĥemia	a l x e m i a
alĥemio	a l x e m i o
alĵeti	a l ʒ e t i
alŝteliri	a l ʃ t e l i r i
alŝteliĝi	a l ʃ t e l i d͡ʒ i
alŝutato	a l ʃ u t a t o
ama	a m a
amafero	a m a f e r o
amano	a m a n o
amanta	a m a n t a
amara	a m a r a
amaraĵo	a m a r a ʒ o
amareco	a m a r e t͡s o
amarigi	a m a r i ɡ i
amariĝi	a m a r i d͡ʒ i
amarsento	a m a r s e n t o
amasa	a m a s a
amasarestado	a m a s a r e s t a d o
amasbuĉado	a m a s b u t͡ʃ a d o
amasbuĉi	a m a s b u t͡ʃ i
amase	a m a s e
amasfabriki	a m a s f a b r i k i
amasigato	a m a s i ɡ a t o
amasigi	a m a s i ɡ i
amasinformilo	a m a s i n f o r m i l o
amasiĝi	a m a s i d͡ʒ i
amaskomunikilo	a m a s k o m u n i k i l o
amasloĝejo	a m a s l o d͡ʒ e j o
amasmemoro	a m a s m e m o r o
amastombejo	a m a s t o m b e j o
amataĵo	a m a t a ʒ o
amato	a m a t o
amatora	a m a t o r a
amatoro	a m a t o r o
amazono	a m a z o n o
amaĵo	a m a ʒ o
ambasado	a m b a s a d o
ambasadorino	a m b a s a d o r i n o
ambasadoro	a m b a s a d o r o
ambaŭflanke	a m b a w f l a n k e
ambaŭmana	a m b a w m a n a
ambaŭseksema	a m b a w s e k s e m a
ambaŭseksemo	a m b a w s e k s e m o
ambaŭseksemulo	a m b a w s e k s e m u l o
ambaŭseksulo	a m b a w s e k s u l o
ambaŭtranĉa	a m b a w t r a n t͡ʃ a
ambicia	a m b i t͡s i a
ambicio	a m b i t͡s i o
ambiciulo	a m b i t͡s i u l o
amblulo	a m b l u l o
ambrozio	a m b r o z i o
amdeklaro	a m d e k l a r o
amdonantino	a m d o n a n t i n o
amegato	a m e ɡ a t o
amego	a m e ɡ o
amelo	a m e l o
amelumi	a m e l u m i
amema	a m e m a
amento	a m e n t o
americio	a m e r i t͡s i o
amerika	a m e r i k a
amerikano	a m e r i k a n o
ameti	a m e t i
ametista	a m e t i s t a
amfibia	a m f i b i a
amfibio	a m f i b i o
amforo	a m f o r o
amika	a m i k a
amikaro	a m i k a r o
amikeco	a m i k e t͡s o
amiki	a m i k i
amikino	a m i k i n o
amikiĝi	a m i k i d͡ʒ i
amiko	a m i k o
amikumi	a m i k u m i
amilopektino	a m i l o p e k t i n o
aminda	a m i n d a
amindeco	a m i n d e t͡s o
amindumado	a m i n d u m a d o
amindumato	a m i n d u m a t o
amindumi	a m i n d u m i
amkanto	a m k a n t o
amnestio	a m n e s t i o
amnezia	a m n e z i a
amo	a m o
amora	a m o r a
amorado	a m o r a d o
amorema	a m o r e m a
amoreto	a m o r e t o
amori	a m o r i
amoro	a m o r o
amortizilo	a m o r t i z i l o
ampero	a m p e r o
ampleksato	a m p l e k s a t o
ampleksigi	a m p l e k s i ɡ i
amplifato	a m p l i f a t o
amplifi	a m p l i f i
ampolo	a m p o l o
amputado	a m p u t a d o
amputato	a m p u t a t o
amromano	a m r o m a n o
amsento	a m s e n t o
amsterdamano	a m s t e r d a m a n o
amsterdamo	a m s t e r d a m o
amuzado	a m u z a d o
amuzaĵo	a m u z a ʒ o
amuzejo	a m u z e j o
amuzilo	a m u z i l o
amuziĝi	a m u z i d͡ʒ i
amuzoj	a m u z o j
amuzojn	a m u z o j n
amuzon	a m u z o n
anagalo	a n a ɡ a l o
anagramo	a n a ɡ r a m o
anakoreto	a n a k o r e t o
analfabeteco	a n a l f a b e t e t͡s o
analfabetulo	a n a l f a b e t u l o
analfabetulon	a n a l f a b e t u l o n
analgeziko	a n a l ɡ e z i k o
analitiko	a n a l i t i k o
analizato	a n a l i z a t o
analizema	a n a l i z e m a
analizilo	a n a l i z i l o
analizo	a n a l i z o
analoga	a n a l o ɡ a
analogia	a n a l o ɡ i a
analogie	a n a l o ɡ i e
analogio	a n a l o ɡ i o
ananaso	a n a n a s o
anarkia	a n a r k i a
anarkiismo	a n a r k i i s m o
anarkio	a n a r k i o
anarkiulo	a n a r k i u l o
anaro	a n a r o
anarĥia	a n a r x i a
anarĥiismo	a n a r x i i s m o
anarĥiulo	a n a r x i u l o
anasaro	a n a s a r o
anasido	a n a s i d o
anasino	a n a s i n o
anaso	a n a s o
anastazio	a n a s t a z i o
anatemi	a n a t e m i
anatomia	a n a t o m i a
anatomio	a n a t o m i o
anaĥoreto	a n a x o r e t o
andaluzio	a n d a l u z i o
andaluzujo	a n d a l u z u j o
andreo	a n d r e o
androgina	a n d r o ɡ i n a
androido	a n d r o i d o
andrologio	a n d r o l o ɡ i o
andrologo	a n d r o l o ɡ o
andromedo	a n d r o m e d o
andujo	a n d u j o
anekdotaro	a n e k d o t a r o
aneksato	a n e k s a t o
aneksi	a n e k s i
aneksiĝi	a n e k s i d͡ʒ i
anemia	a n e m i a
anemio	a n e m i o
anemono	a n e m o n o
aneto	a n e t o
anfrakto	a n f r a k t o
angilo	a n ɡ i l o
angino	a n ɡ i n o
angio	a n ɡ i o
anglalingvano	a n ɡ l a l i n ɡ v a n o
anglano	a n ɡ l a n o
angligi	a n ɡ l i ɡ i
anglikanismo	a n ɡ l i k a n i s m o
anglikano	a n ɡ l i k a n o
anglino	a n ɡ l i n o
anglio	a n ɡ l i o
anglo	a n ɡ l o
anglolando	a n ɡ l o l a n d o
angolo	a n ɡ o l o
angora	a n ɡ o r a
angori	a n ɡ o r i
angoro	a n ɡ o r o
angulaĵo	a n ɡ u l a ʒ o
angulilo	a n ɡ u l i l o
angulo	a n ɡ u l o
angvilo	a n ɡ v i l o
anhelado	a n h e l a d o
anhelo	a n h e l o
ani	a n i
anigi	a n i ɡ i
animala	a n i m a l a
animalo	a n i m a l o
animato	a n i m a t o
animdoloro	a n i m d o l o r o
animeo	a n i m e o
animismo	a n i m i s m o
animo	a n i m o
animprofunde	a n i m p r o f u n d e
animstato	a n i m s t a t o
anizlikvoro	a n i z l i k v o r o
anizujo	a n i z u j o
aniĝi	a n i d͡ʒ i
anjo	a n j o
anjono	a n j o n o
ankaro	a n k a r o
ankaŭ	a n k a w
ankoraŭ	a n k o r a w
ankoraŭfoje	a n k o r a w f o j e
ankrejo	a n k r e j o
ankriĝi	a n k r i d͡ʒ i
ankro	a n k r o
ankrokablo	a n k r o k a b l o
anno	a n n o
ano	a n o
anomalia	a n o m a l i a
anomalio	a n o m a l i o
anoncado	a n o n t͡s a d o
anoncato	a n o n t͡s a t o
anoncigi	a n o n t͡s i ɡ i
anoncistino	a n o n t͡s i s t i n o
anonciĝi	a n o n t͡s i d͡ʒ i
anonctabulo	a n o n t͡s t a b u l o
anoreksio	a n o r e k s i o
anseraĵo	a n s e r a ʒ o
anserido	a n s e r i d o
anserino	a n s e r i n o
ansero	a n s e r o
anstataŭ	a n s t a t a w
anstataŭigato	a n s t a t a w i ɡ a t o
anstataŭigebla	a n s t a t a w i ɡ e b l a
anstataŭulo	a n s t a t a w u l o
antananarivo	a n t a n a n a r i v o
antaŭ	a n t a w
antaŭa	a n t a w a
antaŭafikso	a n t a w a f i k s o
antaŭamplifilo	a n t a w a m p l i f i l o
antaŭato	a n t a w a t o
antaŭaĵo	a n t a w a ʒ o
antaŭdiri	a n t a w d i r i
antaŭenema	a n t a w e n e m a
antaŭenigi	a n t a w e n i ɡ i
antaŭeniri	a n t a w e n i r i
antaŭeniĝi	a n t a w e n i d͡ʒ i
antaŭiri	a n t a w i r i
antaŭiĝi	a n t a w i d͡ʒ i
antaŭo	a n t a w o
antaŭparolo	a n t a w p a r o l o
antaŭsento	a n t a w s e n t o
antaŭstato	a n t a w s t a t o
antaŭtempa	a n t a w t e m p a
antaŭtuko	a n t a w t u k o
antaŭulo	a n t a w u l o
antaŭurbo	a n t a w u r b o
antaŭvidebla	a n t a w v i d e b l a
antaŭvidi	a n t a w v i d i
antaŭvido	a n t a w v i d o
antaŭvortero	a n t a w v o r t e r o
antaŭĝoji	a n t a w d͡ʒ o j i
antaŭĝui	a n t a w d͡ʒ u i
anteno	a n t e n o
antero	a n t e r o
antibiotika	a n t i b i o t i k a
anticiklono	a n t i t͡s i k l o n o
anticipado	a n t i t͡s i p a d o
antifebra	a n t i f e b r a
antikvaĵo	a n t i k v a ʒ o
antikveco	a n t i k v e t͡s o
antilopo	a n t i l o p o
antimaterio	a n t i m a t e r i o
antimono	a n t i m o n o
antineŭtrino	a n t i n e w t r i n o
antioĥio	a n t i o x i o
antipartiklo	a n t i p a r t i k l o
antipatia	a n t i p a t i a
